CUST_ID	OUT_COMMUNITY_TOTAL	OUT_COMMUNITY_VOICE	OUT_COMMUNITY_SMS	IN_COMMUNITY_VOICE	IN_COMMUNITY_SMS	IN_COMMUNITY_TOTAL	VOICE_OUT_CALLS	VOICE_IN_CALLS	SMS_OUT_CALLS	MMS_OUT_CALLS	EVENTS_CALLS	INTERNET_CALLS	TOTAL_OUT_CALLS	VOICE_OUT_MINS	VOICE_IN_MINS	GPRS_TRAFFIC	EVENTS_TRAFFIC	OUT_CALLS_ROAMING	OUT_MINS_ROAMING	OUT_CALLS_INTERNATIONAL	OUT_MINS_INTERNATIONAL	OUT_CALLS_PEAK	OUT_CALLS_OFFPEAK	OUT_CALLS_WORK	OUT_CALLS_NONWORK	IN_CALLS_PEAK	IN_CALLS_OFFPEAK	IN_CALLS_WORK	IN_CALLS_NONWORK	DAYS_OUT	DAYS_IN	AGE	GENDER	PRC_VOICE_OUT_CALLS	PRC_SMS_OUT_CALLS	PRC_EVENTS_CALLS	PRC_INTERNET_CALLS	PRC_OUT_CALLS_INTERNATIONAL	PRC_OUT_CALLS_ROAMING	PRC_MMS_OUT_CALLS	PRC_OUT_CALLS_PEAK	PRC_OUT_CALLS_OFFPEAK	PRC_OUT_CALLS_WORK	PRC_OUT_CALLS_NONWORK	PRC_IN_CALLS_PEAK	PRC_IN_CALLS_OFFPEAK	PRC_IN_CALLS_WORK	PRC_IN_CALLS_NONWORK	PRC_OUT_COMMUNITY_VOICE	PRC_OUT_COMMUNITY_SMS	PRC_IN_COMMUNITY_VOICE	PRC_IN_COMMUNITY_SMS	ACD_OUT	ACD_IN
"C10014"	56.047463	51.930517	12.971728	60.756811	15.890326	72.297159	250.022270	287.396122	31.836442	0.000000	0.472144	0.000000	276.453324	489.484435	536.310837	0.000000	0.000000	3.461914	8.588102	0.919213	3.394117	187.920435	26.663278	259.794048	27.217229	294.062167	44.506076	258.130972	19.511531	27.794813	26.333842	29.121571	"M"	0.904392	0.115160	0.001708	0.000000	0.003325	0.012523	0.000000	0.875744	0.124256	0.905170	0.094830	0.868546	0.131454	0.929724	0.070276	0.926545	0.231442	0.840376	0.219792	1.957763	1.866103
"C10015"	61.077030	59.095455	3.568518	40.466886	7.495991	46.394963	145.132712	146.446486	6.562363	0.000000	0.000000	0.000000	152.442072	98.964986	101.542712	0.000000	0.000000	0.000000	0.000000	1.358608	1.425556	95.800740	34.149226	130.651771	24.371382	119.804353	52.823222	92.777018	16.153841	27.896845	26.607314	42.665109	"F"	0.952052	0.043048	0.000000	0.000000	0.008912	0.000000	0.000000	0.737213	0.262787	0.842789	0.157211	0.694005	0.305995	0.851706	0.148294	0.967556	0.058427	0.872226	0.161569	0.681893	0.693378
"C10016"	55.862880	47.645371	12.783285	97.704749	13.664900	114.244440	149.728675	352.340208	22.067896	0.000000	1.116631	0.000000	172.701738	130.504327	307.830420	0.000000	0.000000	0.000000	0.000000	0.331306	0.211118	87.555965	43.218515	131.077761	38.743908	317.810150	58.432239	316.560673	32.820315	28.378375	29.005833	37.887516	"M"	0.866978	0.127780	0.006466	0.000000	0.001918	0.000000	0.000000	0.669519	0.330481	0.771855	0.228145	0.844695	0.155305	0.906062	0.093938	0.852899	0.228833	0.855225	0.119611	0.871605	0.873674
"C10017"	68.772557	70.513064	10.380874	85.054095	12.792830	91.192071	381.270166	411.399590	28.193503	0.820439	0.983932	0.000000	401.758057	358.404282	381.703103	1.830081	0.000000	0.000000	0.000000	1.070568	0.302633	230.976151	121.860984	317.571500	98.437229	294.428465	107.098153	294.506899	63.461807	26.501920	26.427781	38.211727	"F"	0.949004	0.070175	0.002449	0.000000	0.002665	0.000000	0.002042	0.654625	0.345375	0.763377	0.236623	0.733273	0.266727	0.822717	0.177283	1.025308	0.150945	0.932692	0.140284	0.940027	0.927816
"C10018"	5.834148	5.738166	0.000000	4.768740	1.204459	5.804236	28.868343	71.732862	0.000000	0.000000	0.000000	0.000000	27.139036	26.907545	81.879714	0.000000	0.000000	0.499800	0.577459	0.000000	0.000000	17.797551	7.493079	21.676161	6.389660	61.098334	28.079135	41.978313	13.266204	13.140280	20.824805	25.438841	"F"	1.063720	0.000000	0.000000	0.000000	0.000000	0.018416	0.000000	0.703721	0.296279	0.772333	0.227667	0.685132	0.314868	0.759864	0.240136	0.983548	0.000000	0.821597	0.207514	0.932078	1.141453
"C10019"	13.842218	12.192173	2.104981	18.651497	2.472897	21.698339	74.282792	119.695432	3.106084	0.000000	0.000000	0.000000	90.249232	37.685245	101.867603	0.000000	0.000000	1.830296	2.984681	0.000000	0.000000	54.223320	22.272830	67.537678	23.266403	81.908539	40.255591	88.069177	29.895575	23.470698	27.232132	31.840700	"M"	0.823085	0.034417	0.000000	0.000000	0.000000	0.020280	0.000000	0.708837	0.291163	0.743774	0.256226	0.670479	0.329521	0.746572	0.253428	0.880796	0.152070	0.859582	0.113967	0.507321	0.851057
"C10020"	10.583785	8.116514	0.000000	552.768533	10.372714	533.847615	10.817888	1531.643950	0.000000	0.000000	0.000000	0.000000	10.336718	5.448390	1726.119593	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.984360	4.700868	6.656591	4.371250	1474.092410	488.806114	1030.736494	222.301863	6.321961	29.915065	37.656959	"M"	1.046550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.597708	0.402292	0.603617	0.396383	0.750977	0.249023	0.822590	0.177410	0.766882	0.000000	1.035443	0.019430	0.503646	1.126972
"C10021"	21.497832	19.011741	1.609786	23.545190	2.823238	24.701171	51.607291	72.365174	1.709802	0.000000	0.162734	0.000000	51.971845	28.721945	54.253200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	33.261730	15.479321	44.336842	12.441029	65.339992	13.611789	55.444092	8.682582	19.763711	22.722780	42.104883	"M"	0.992986	0.032899	0.003131	0.000000	0.000000	0.000000	0.000000	0.682417	0.317583	0.780882	0.219118	0.827594	0.172406	0.864603	0.135397	0.884356	0.074881	0.953201	0.114296	0.556548	0.749714
"C10022"	27.900003	25.597427	5.083769	53.873531	4.844740	55.607509	52.009370	211.795495	6.847379	0.000000	0.159229	0.000000	61.081003	62.780171	312.198518	0.000000	0.000000	1.094111	0.418768	1.501946	2.416198	25.710087	10.458929	50.957867	8.665660	177.206576	43.185152	134.919022	9.923027	17.642708	20.541337	27.027585	"M"	0.851482	0.112103	0.002607	0.000000	0.024589	0.017912	0.000000	0.710832	0.289168	0.854660	0.145340	0.804053	0.195947	0.931491	0.068509	0.917470	0.182214	0.968818	0.087124	1.207093	1.474056
"C10023"	43.994322	25.192620	23.234802	48.568619	30.168455	69.287487	53.938493	116.642185	111.236690	0.000000	1.055528	0.161812	159.939568	66.243057	277.261493	0.000000	0.000000	0.000000	0.000000	0.329531	0.094937	37.140363	16.867887	116.916566	47.000782	89.595048	45.419558	262.096051	113.923361	26.779039	29.669357	40.483392	"M"	0.337243	0.695492	0.006600	0.001012	0.002060	0.000000	0.000000	0.687679	0.312321	0.713265	0.286735	0.663595	0.336405	0.697028	0.302972	0.572633	0.528132	0.700972	0.435410	1.228122	2.377026
"C10024"	35.060532	35.247556	1.139670	33.345442	5.831423	38.820984	329.199895	164.188275	19.021242	0.000000	0.000000	0.000000	341.311802	514.860097	195.785029	0.000000	0.000000	0.000000	0.000000	1.906592	3.272408	217.953674	96.972750	279.162971	73.220883	133.668800	50.090603	137.696680	35.356977	28.715372	29.518213	50.948571	"M"	0.964514	0.055730	0.000000	0.000000	0.005586	0.000000	0.000000	0.692078	0.307922	0.792213	0.207787	0.727412	0.272588	0.795688	0.204312	1.005334	0.032506	0.858954	0.150213	1.563974	1.192442
"C10025"	20.823833	19.851152	0.972498	27.019405	3.595662	28.954117	81.680505	145.313914	1.113511	0.000000	0.000000	0.000000	81.151756	51.012859	85.635339	0.000000	0.000000	0.165318	0.055656	5.227759	7.029980	45.781811	24.863637	54.386967	22.798581	96.472905	52.332406	95.022289	44.733430	23.074988	26.157332	39.515493	"M"	1.006516	0.013721	0.000000	0.000000	0.064420	0.002037	0.000000	0.648050	0.351950	0.704626	0.295374	0.648316	0.351684	0.679917	0.320083	0.953290	0.046701	0.933180	0.124185	0.624541	0.589313
"C10026"	44.545988	41.359130	6.220566	75.900928	6.746444	76.483743	329.286083	389.296013	89.061745	0.935525	0.475241	0.000000	391.154188	395.424795	525.485948	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	159.179304	96.008690	318.013067	101.740892	317.741782	90.027637	324.891594	79.143752	27.306718	28.091347	38.814398	"M"	0.841832	0.227690	0.001215	0.000000	0.000000	0.000000	0.002392	0.623773	0.376227	0.757618	0.242382	0.779219	0.220781	0.804117	0.195883	0.928459	0.139644	0.992380	0.088208	1.200855	1.349836
"C10027"	21.732701	21.231308	1.620951	37.233895	5.584220	42.225944	55.139873	152.072266	1.556433	0.000000	0.332245	0.000000	57.462542	44.572427	151.452637	0.000000	0.000000	0.000000	0.000000	0.163860	0.016176	28.296050	15.373814	44.482365	13.981567	128.101232	34.485226	112.242258	23.234174	23.146248	27.487587	33.447363	"F"	0.959579	0.027086	0.005782	0.000000	0.002852	0.000000	0.000000	0.647954	0.352046	0.760851	0.239149	0.787896	0.212104	0.828500	0.171500	0.976929	0.074586	0.881778	0.132246	0.808352	0.995925
"C10028"	77.605750	73.505768	7.836589	61.001008	9.273552	71.139452	194.105988	190.295892	8.712039	0.000000	0.458197	1.056560	195.432996	233.304905	265.377627	0.000000	0.078066	0.000000	0.000000	1.929239	2.742627	121.354593	44.358669	161.791698	37.282623	164.047014	50.283654	139.184597	26.005147	27.020342	27.020171	41.917320	"M"	0.993210	0.044578	0.002345	0.005406	0.009872	0.000000	0.000000	0.732317	0.267683	0.812720	0.187280	0.765392	0.234608	0.842574	0.157426	0.947169	0.100979	0.857485	0.130357	1.201946	1.394553
"C10029"	6.962940	4.929317	2.994051	12.305940	4.459321	16.191262	7.331524	32.871789	4.194812	0.000000	0.000000	0.000000	11.082780	4.124640	77.402744	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.656581	3.141105	7.276598	4.335639	29.639339	7.609838	23.805841	6.707109	8.373789	14.748732	32.729177	"F"	0.661524	0.378498	0.000000	0.000000	0.000000	0.000000	0.000000	0.597175	0.402825	0.626632	0.373368	0.795705	0.204295	0.780188	0.219812	0.707936	0.429998	0.760036	0.275415	0.562590	2.354686
"C10030"	183.860033	155.318022	2.334638	189.950169	14.357488	195.680136	514.439380	605.262118	2.920642	0.000000	1.283843	0.000000	521.446979	597.310731	638.250191	0.000000	0.078429	10.980670	11.133018	0.301593	0.593064	417.654800	91.429655	459.470392	72.217212	595.238848	121.521672	508.400962	72.755096	29.192798	28.131737	52.268356	"M"	0.986561	0.005601	0.002462	0.000000	0.000578	0.021058	0.000000	0.820404	0.179596	0.864174	0.135826	0.830457	0.169543	0.874810	0.125190	0.844762	0.012698	0.970718	0.073372	1.161091	1.054502
"C10031"	26.416326	25.210702	2.053580	21.665615	5.434893	24.806016	180.705352	141.208661	7.552793	0.000000	2.645668	14.263771	204.898900	180.133650	104.043985	0.000000	1.992958	0.000000	0.000000	0.000000	0.000000	68.169215	58.383100	143.800304	53.656105	119.512921	38.699869	108.205218	31.833398	14.067304	15.349875	34.888678	"M"	0.881924	0.036861	0.012912	0.069614	0.000000	0.000000	0.000000	0.538664	0.461336	0.728264	0.271736	0.755394	0.244606	0.772681	0.227319	0.954361	0.077739	0.873402	0.219096	0.996836	0.736810
"C10032"	92.843544	91.281009	5.770280	70.261971	12.088579	72.726708	252.637494	199.831203	8.558445	0.646926	9.511815	0.162172	355.625789	594.945065	427.401065	0.000000	0.983344	42.856689	68.174277	18.120649	70.795849	155.000019	60.173514	268.705557	61.076417	147.999946	49.482999	197.596190	46.043244	29.471221	27.900096	36.203297	"F"	0.710403	0.024066	0.026747	0.000456	0.050954	0.120511	0.001819	0.720349	0.279651	0.814798	0.185202	0.749432	0.250568	0.811019	0.188981	0.983170	0.062151	0.966110	0.166219	2.354936	2.138810
"C10033"	49.118680	49.157427	0.000000	71.139785	7.693366	72.876676	140.975299	170.419861	0.000000	0.000000	0.000000	0.000000	138.402732	273.514187	312.262348	0.000000	0.000000	1.683370	2.177946	0.000000	0.000000	90.600505	42.810331	109.268235	33.403640	127.894750	46.559994	151.016584	33.735542	27.496148	26.606078	41.590492	"M"	1.018588	0.000000	0.000000	0.000000	0.000000	0.012163	0.000000	0.679109	0.320891	0.765871	0.234129	0.733111	0.266889	0.817401	0.182599	1.000789	0.000000	0.976167	0.105567	1.940157	1.832312
"C10034"	45.187662	47.135786	0.811818	53.468991	4.309814	52.756178	185.426533	292.660098	0.828946	0.000000	0.150747	0.000000	181.306142	154.315507	287.568698	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	107.941401	47.132734	147.641118	33.657161	227.645773	108.977391	176.813922	44.776709	26.971933	28.328054	32.722663	"M"	1.022726	0.004572	0.000831	0.000000	0.000000	0.000000	0.000000	0.696063	0.303937	0.814355	0.185645	0.676263	0.323737	0.797930	0.202070	1.043112	0.017965	1.013511	0.081693	0.832219	0.982603
"C10035"	54.732936	58.371949	1.616984	66.677807	6.881482	74.791274	476.219562	292.536017	1.520460	0.000000	0.469218	0.000000	462.135621	642.698424	338.730813	0.000000	0.019018	7.065492	15.115838	1.850485	1.693360	324.565348	80.791257	419.489274	53.350689	243.034034	71.784985	223.387301	41.475157	29.388360	29.845623	23.750972	"M"	1.030476	0.003290	0.001015	0.000000	0.004004	0.015289	0.000000	0.800691	0.199309	0.887170	0.112830	0.771980	0.228020	0.843409	0.156591	1.066487	0.029543	0.891519	0.092009	1.349584	1.157911
"C10036"	7.805347	6.966073	0.755788	19.860138	6.311129	26.436311	14.199293	68.700281	0.160509	0.000000	0.632748	0.000000	20.858008	16.749160	106.422760	0.000000	0.000000	0.000000	0.000000	0.152266	0.033939	7.850579	5.437147	11.748913	4.508772	49.370752	19.818032	51.092736	14.170919	12.916889	29.217839	38.584009	"M"	0.680760	0.007695	0.030336	0.000000	0.007300	0.000000	0.000000	0.590814	0.409186	0.722668	0.277332	0.713566	0.286434	0.782867	0.217133	0.892474	0.096830	0.751245	0.238730	1.179577	1.549088
"C10037"	37.873277	34.289691	7.316823	25.832729	7.952519	32.842345	94.347428	119.546553	83.186989	0.305141	0.764506	0.000000	179.933708	121.738351	131.305221	0.481291	0.000000	0.000000	0.000000	0.000000	0.000000	53.799708	39.077407	132.261923	57.142961	105.189613	47.790144	115.319822	45.026777	28.055718	27.345034	87.821805	"F"	0.524345	0.462320	0.004249	0.000000	0.000000	0.000000	0.001696	0.579257	0.420743	0.698303	0.301697	0.687605	0.312395	0.719191	0.280809	0.905380	0.193192	0.786568	0.242142	1.290320	1.098361
"C10038"	13.688541	13.003006	1.525890	8.853374	4.807239	12.244047	84.086631	84.499984	3.779285	0.000000	0.314053	4.369010	88.842349	81.947862	71.089899	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	46.468886	24.426193	67.476492	24.718022	66.802983	28.956769	65.946413	22.156433	25.838875	26.018024	46.765793	"F"	0.946470	0.042539	0.003535	0.049177	0.000000	0.000000	0.000000	0.655460	0.344540	0.731893	0.268107	0.697610	0.302390	0.748516	0.251484	0.949919	0.111472	0.723076	0.392618	0.974565	0.841301
"C10039"	27.011911	26.586761	0.309442	37.117733	3.637686	37.632984	226.546339	232.060711	0.617487	0.000000	0.000000	0.000000	240.915349	980.645443	407.301363	0.000000	0.000000	0.751219	1.729599	0.154708	0.013532	156.088773	69.736961	203.251200	52.984539	187.076535	59.561745	168.367237	36.979520	29.037989	27.654673	38.723075	"M"	0.940357	0.002563	0.000000	0.000000	0.000642	0.003118	0.000000	0.691191	0.308809	0.793220	0.206780	0.758506	0.241494	0.819917	0.180083	0.984261	0.011456	0.986309	0.096662	4.328675	1.755150
"C10040"	37.825984	36.806013	0.909690	40.582919	1.804007	44.048207	167.299853	139.535073	0.827622	0.000000	0.799283	0.000000	168.197488	134.933719	150.966269	0.000000	0.000000	0.000000	0.000000	3.161224	2.391434	95.518853	64.386162	116.602137	43.043021	109.151419	41.309984	106.944292	26.430313	27.299888	27.524917	42.882741	"M"	0.994663	0.004921	0.004752	0.000000	0.018795	0.000000	0.000000	0.597347	0.402653	0.730383	0.269617	0.725445	0.274555	0.801834	0.198166	0.973035	0.024049	0.921330	0.040955	0.806538	1.081923
"C10041"	19.837364	17.214135	1.694311	7.992065	6.426578	14.397376	30.091269	20.582005	1.603952	0.000000	0.970577	0.000000	39.190424	26.927313	36.533961	0.000000	0.000000	0.000000	0.000000	1.970427	2.320870	18.694037	8.283465	28.949433	6.615155	12.335735	4.677482	21.907922	5.112678	18.412180	14.912309	38.205968	"F"	0.767822	0.040927	0.024766	0.000000	0.050278	0.000000	0.000000	0.692949	0.307051	0.813996	0.186004	0.725068	0.274932	0.810786	0.189214	0.867763	0.085410	0.555106	0.446371	0.894855	1.775044
"C10042"	14.738158	12.024930	2.304752	18.417016	5.874048	22.543232	23.873332	49.131169	3.464706	0.000000	0.000000	0.000000	31.491928	27.864590	62.600791	0.000000	0.000000	0.327384	0.284679	3.646616	6.865864	12.551827	6.894147	19.639870	7.444727	35.486972	15.411665	36.719540	10.965822	14.541520	18.355005	41.359558	"M"	0.758078	0.110019	0.000000	0.000000	0.115795	0.010396	0.000000	0.645472	0.354528	0.725131	0.274869	0.697209	0.302791	0.770038	0.229962	0.815905	0.156380	0.816964	0.260568	1.167185	1.274156
"C10043"	33.680148	32.615162	0.602201	29.453944	2.780939	31.911166	91.605244	113.993464	0.635335	0.000000	0.000000	0.000000	114.168343	82.292640	91.187667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	65.896342	23.332075	87.830330	18.544339	88.268968	33.900130	73.489338	19.059923	25.853715	26.500601	50.380205	"M"	0.802370	0.005565	0.000000	0.000000	0.000000	0.000000	0.000000	0.738513	0.261487	0.825670	0.174330	0.722515	0.277485	0.794056	0.205944	0.968379	0.017880	0.922998	0.087146	0.898340	0.799938
"C10044"	79.046891	83.613015	1.618371	116.779430	4.984421	118.705535	256.895121	425.141208	1.931948	0.000000	0.000000	0.164610	297.318529	347.543344	514.272701	0.000000	0.000000	1.205084	1.779413	2.920107	2.351821	209.221341	43.901131	256.469416	36.941845	370.973373	71.846126	296.125204	35.481369	27.780542	27.432972	43.261150	"M"	0.864040	0.006498	0.000000	0.000554	0.009821	0.004053	0.000000	0.826562	0.173438	0.874095	0.125905	0.837753	0.162247	0.893002	0.106998	1.057765	0.020474	0.983774	0.041990	1.352861	1.209652
